operatieId,medewerkerId,gespreksduurTotaalMinuten,aantalTelefonischeDatumVoorstellen,retourStroom48u,aantalMinutenBezigMetPlanning,aantalBelpogingen,opmerking
5000,18,10,5,False,48,3,
5001,175,2,1,False,60,3,
5002,115,7,3,False,93,2,Meer passeren titel maand toekomst thuis.
5003,169,8,5,False,67,2,
5004,25,2,5,False,100,1,
5005,194,5,2,False,78,3,Vals meubel rijk droog terwijl zou aanraken elk.
5006,95,10,1,False,109,2,Fit gebruik jaar steen vlag brengen.
5007,163,6,1,False,56,2,Sok sterk markeren pijn vol.
5008,15,2,1,False,81,2,
5009,74,7,2,False,28,1,Maand elk schaar blij.
5010,105,9,3,False,33,2,
5011,22,4,1,False,99,4,
5012,162,6,3,False,40,4,Hallo grappig wolf zonder open soms ontdekken.
5013,172,8,1,False,31,2,
5014,194,7,5,False,96,3,Vast aanval schip grond zeil.
5015,116,7,3,False,52,4,Pistool verzamelen netjes.
5016,133,9,5,False,15,2,
5017,124,9,2,False,107,2,
5018,69,9,1,False,100,4,
5019,130,6,3,False,102,3,
5020,68,2,1,False,22,1,
5021,128,8,1,False,80,4,Lang kant brief tekenen voet willen.
5022,65,7,1,False,105,4,Film ontwikkelen prins blijven.
5023,159,7,3,True,47,2,
5024,12,10,4,False,15,2,Fijn praten zaak kennis.
5025,112,4,1,False,78,3,School willen bij gevangenis hemel.
5026,179,10,2,False,17,4,Pas controle dragen bloem rubber normaal sorry gemakkelijk.
5027,178,8,1,False,96,4,Boerderij ongeluk geboren benzine.
5028,125,4,1,False,39,3,
5029,73,3,4,False,79,4,Zes zeil dienen angst kunst.
5030,21,4,1,False,31,4,
5031,65,10,3,False,44,2,
5032,66,7,1,False,78,3,Elektrisch storm al vliegtuig wachten.
5033,140,7,1,False,96,1,
5034,57,10,2,True,39,3,Zwak ziekenhuis bui oorlog verhoging vijand bui.
5035,56,3,3,True,86,4,
5036,174,4,2,False,49,4,
5037,143,6,1,True,46,1,
5038,132,5,4,False,69,4,Krijgen conditie aan half lunch glimlach.
5039,173,3,1,False,112,4,Liggen hut ouder dak markeren bedekken schrijven.
5040,181,9,2,False,76,4,
5041,118,4,5,True,51,3,Één bui rok meerdere.
5042,83,7,1,False,32,2,
5043,108,10,1,True,63,4,Zak schreeuwen brandstof weer.
5044,173,4,2,False,100,2,
5045,137,9,4,False,78,1,
5046,12,2,4,True,21,4,
5047,119,6,5,False,48,2,Ontmoeten avond sex televisie.
5048,155,8,5,True,62,3,Prijs soep bal rond film koning.
5049,99,7,5,False,36,4,Vergelijkbaar list ijs grijs stuk verwachten derde ongeluk.
5050,28,10,3,False,61,4,
5051,197,3,2,False,83,2,Kort gisteren traan bruikbaar zaak meerdere.
5052,34,5,5,True,101,1,Eis elektrisch druk nobel papa genieten zingen straat.
5053,108,8,2,False,73,1,Eeuw slaapkamer lijken natuur dapper.
5054,113,9,4,False,35,3,Tijd deksel beker.
5055,154,7,5,False,66,1,
5056,17,8,1,True,49,3,Hoop begin zon bouwen boos mand.
5057,31,7,1,False,78,3,
5058,94,5,2,False,59,2,Bieden pagina van presenteren beroemd vak uitzoeken fris.
5059,136,2,2,False,16,3,Tegen niets aanval doorzichtig.
5060,39,4,4,False,117,1,Fles duur buiten hand.
5061,51,6,5,True,77,1,
5062,9,3,3,True,91,1,
5063,86,10,1,True,74,3,Arm vriendelijk leuk koorts blauw brandstof voorzichtig.
5064,119,7,1,False,32,2,Mogen schaar dapper hen binnenkort.
5065,23,8,5,True,82,3,
5066,83,5,2,True,81,1,
5067,62,7,1,False,85,3,Ziel terug krant weer bloem laken en wolk.
5068,123,8,5,True,108,4,
5069,43,6,2,False,19,1,
5070,176,3,3,False,13,4,
5071,13,6,2,False,105,3,
5072,45,8,5,False,88,1,
5073,129,3,4,True,42,4,
5074,51,6,5,True,93,2,Dapper tien kiezen sleutel afspraak.
5075,40,3,1,False,75,2,Graf dit plus vertellen noord.
5076,30,7,2,False,41,1,
5077,195,7,4,False,98,4,
5078,9,10,1,True,11,4,
5079,196,8,4,False,15,2,
5080,102,6,1,False,99,1,Zeven onze kok station.
5081,135,2,3,False,105,2,Werk blad team schijnen.
5082,34,3,1,False,20,1,Druk lucht schoon bewegen bureau gebeurtenis.
5083,135,8,5,False,120,4,
5084,170,5,5,True,33,4,Raam bewegen mooi lezen geboren draad ook onderzoek.
5085,162,8,3,True,112,3,
5086,180,8,1,False,12,2,Keuken op zeer ontwikkelen nee.
5087,100,9,1,False,102,1,
5088,30,4,4,False,111,3,
5089,82,5,3,True,111,2,Maan scherp bang goed samen hoop rubber.
5090,12,7,4,False,89,4,Doen beneden teken team bos.
5091,114,9,3,True,17,2,
5092,27,5,3,True,88,4,
5093,125,8,1,False,99,3,Land buiten bus geven breken zwemmen wonder zeggen.
5094,47,5,4,False,97,1,Stilte conditie zon zonnig hamer soms.
5095,129,6,3,True,120,2,
5096,128,7,5,True,86,2,Hond potlood scheiden fris.
5097,59,8,2,True,17,3,
5098,67,8,4,False,32,2,Voelen mijn tellen vloer blauw.
5099,59,6,3,False,23,4,Zingen plastic spelen zeven.
5100,43,6,1,False,67,1,Deel buren meneer hen bloed zorg hallo.
5101,108,8,4,False,58,2,Kist jas privé hemel dier verstoppen.
5102,9,2,1,True,73,4,Oost televisie zout per een voor.
5103,5,9,5,False,105,3,Kennis lang rechts plaat ver.
5104,72,10,3,False,15,2,
5105,199,7,5,False,13,3,Presenteren grap vrouw correct gevolg heuvel.
5106,84,9,5,False,103,4,
5107,72,5,1,True,69,3,Correct heuvel gebruiken bos.
5108,199,5,2,False,16,1,
5109,65,10,4,True,95,3,
5110,188,5,1,False,51,2,
5111,23,5,1,True,114,3,
5112,65,6,3,False,99,2,
5113,87,7,2,False,15,1,
5114,27,9,3,True,14,1,
5115,75,5,5,False,76,1,
5116,172,4,2,False,40,2,
5117,114,8,4,False,51,4,
5118,77,2,1,False,22,1,
5119,21,7,5,False,117,1,
5120,20,9,3,False,102,1,
5121,18,2,3,False,26,1,
