kamerId,afdelingId,aantalBedden,kamerNummer
1,5,3,1
2,5,1,2
3,5,1,3
4,3,2,4
5,6,4,5
6,3,2,6
7,1,2,7
8,2,1,8
9,2,4,9
10,4,2,10
11,3,4,11
12,1,1,12
13,1,4,13
14,6,4,14
15,3,3,15
16,1,1,16
17,2,4,17
18,5,2,18
19,6,3,19
20,1,2,20
21,5,2,21
22,1,3,22
23,6,1,23
24,4,3,24
25,5,1,25
26,6,4,26
27,2,2,27
28,6,4,28
29,3,1,29
30,2,2,30
31,6,2,31
32,6,4,32
33,2,4,33
34,4,2,34
35,2,1,35
36,2,3,36
37,1,2,37
38,1,1,38
39,3,2,39
40,4,4,40
41,6,1,41
42,6,1,42
43,1,4,43
44,1,4,44
45,2,1,45
46,2,3,46
47,5,2,47
48,3,4,48
49,6,3,49
50,1,1,50
