belpoging_id,aantal_belpogingen,duur_belpogingen_seconden
1,1,313
2,4,1999
3,0,0
4,0,0
5,2,978
6,0,0
7,2,441
8,2,1115
9,1,633
10,1,448
11,3,1771
12,1,220
13,0,0
14,1,416
15,0,0
16,1,444
17,4,1398
18,1,218
19,2,909
20,0,0
21,0,0
22,2,574
23,0,0
24,1,320
25,1,627
26,0,0
27,3,1137
28,0,0
29,0,0
30,1,667
31,1,332
32,0,0
33,0,0
34,1,370
35,0,0
36,6,2879
37,0,0
38,0,0
39,0,0
40,1,165
41,0,0
42,1,575
43,2,1029
44,0,0
45,5,1667
46,2,1011
47,1,153
48,0,0
49,1,306
50,1,74
51,1,803
52,0,0
53,0,0
54,1,360
55,1,372
56,0,0
57,0,0
58,1,596
59,0,0
60,0,0
61,2,685
62,0,0
63,0,0
64,2,784
65,1,385
66,0,0
67,1,150
68,0,0
69,0,0
70,1,354
71,1,368
72,2,987
73,3,581
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,2,1398
80,0,0
81,0,0
82,2,713
83,3,878
84,5,2551
85,0,0
86,0,0
87,0,0
88,0,0
89,1,796
90,5,1631
91,0,0
92,2,423
93,2,751
94,2,1007
95,1,671
96,0,0
97,3,1413
98,0,0
99,0,0
100,0,0
101,3,839
102,1,286
103,2,876
104,3,664
105,1,583
106,0,0
107,1,817
108,1,272
109,0,0
110,2,487
111,3,1026
112,3,542
113,0,0
114,1,239
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,1,165
121,0,0
122,1,336
123,3,519
124,1,211
125,0,0
126,0,0
127,2,732
128,2,1037
129,0,0
130,1,255
131,0,0
132,0,0
133,6,2100
134,1,314
135,3,2021
136,0,0
137,0,0
138,1,242
139,1,172
140,1,471
141,1,645
142,8,3217
143,0,0
144,0,0
145,7,2411
146,0,0
147,3,1121
148,0,0
149,0,0
150,1,334
151,1,195
152,0,0
153,0,0
154,0,0
155,1,425
156,0,0
157,0,0
158,1,103
159,0,0
160,3,1767
161,0,0
162,5,1449
163,0,0
164,0,0
165,0,0
166,0,0
167,2,523
168,1,253
169,5,2335
170,1,563
171,0,0
172,1,532
173,0,0
174,0,0
175,1,103
176,0,0
177,0,0
178,1,833
179,0,0
180,0,0
181,0,0
182,3,536
183,0,0
184,0,0
185,0,0
186,0,0
187,3,794
188,1,582
189,2,279
190,1,414
191,1,482
192,0,0
193,0,0
194,0,0
195,1,146
196,0,0
197,9,3190
198,0,0
199,1,281
200,1,191
201,1,211
202,1,814
203,0,0
204,2,527
205,1,327
206,0,0
207,5,1875
208,2,844
209,0,0
210,0,0
211,0,0
212,0,0
213,1,303
214,0,0
215,3,1409
216,2,1049
217,0,0
218,4,997
219,0,0
220,0,0
221,0,0
222,2,695
223,4,1555
224,0,0
225,2,547
226,0,0
227,0,0
228,0,0
229,2,609
230,0,0
231,2,941
232,0,0
233,0,0
234,0,0
235,1,269
236,0,0
237,0,0
238,1,822
239,0,0
240,2,857
241,0,0
242,0,0
243,0,0
244,0,0
245,1,432
246,0,0
247,1,354
248,1,276
249,0,0
250,1,489
251,3,472
252,3,905
253,0,0
254,0,0
255,1,387
256,1,303
257,0,0
258,0,0
259,1,242
260,0,0
261,1,328
262,0,0
263,0,0
264,1,574
265,0,0
266,5,2176
267,1,566
268,0,0
269,1,484
