datum_id,dag,week,maand,kwartaal,jaar
1,1,52,1,1,2022
2,2,52,1,1,2022
3,3,1,1,1,2022
4,4,1,1,1,2022
5,5,1,1,1,2022
6,6,1,1,1,2022
7,7,1,1,1,2022
8,8,1,1,1,2022
9,9,1,1,1,2022
10,10,2,1,1,2022
11,11,2,1,1,2022
12,12,2,1,1,2022
13,13,2,1,1,2022
14,14,2,1,1,2022
15,15,2,1,1,2022
16,16,2,1,1,2022
17,17,3,1,1,2022
18,18,3,1,1,2022
19,19,3,1,1,2022
20,20,3,1,1,2022
21,21,3,1,1,2022
22,22,3,1,1,2022
23,23,3,1,1,2022
24,24,4,1,1,2022
25,25,4,1,1,2022
26,26,4,1,1,2022
27,27,4,1,1,2022
28,28,4,1,1,2022
29,29,4,1,1,2022
30,30,4,1,1,2022
31,31,5,1,1,2022
32,1,5,2,1,2022
33,2,5,2,1,2022
34,3,5,2,1,2022
35,4,5,2,1,2022
36,5,5,2,1,2022
37,6,5,2,1,2022
38,7,6,2,1,2022
39,8,6,2,1,2022
40,9,6,2,1,2022
41,10,6,2,1,2022
42,11,6,2,1,2022
43,12,6,2,1,2022
44,13,6,2,1,2022
45,14,7,2,1,2022
46,15,7,2,1,2022
47,16,7,2,1,2022
48,17,7,2,1,2022
49,18,7,2,1,2022
50,19,7,2,1,2022
51,20,7,2,1,2022
52,21,8,2,1,2022
53,22,8,2,1,2022
54,23,8,2,1,2022
55,24,8,2,1,2022
56,25,8,2,1,2022
57,26,8,2,1,2022
58,27,8,2,1,2022
59,28,9,2,1,2022
60,1,9,3,1,2022
61,2,9,3,1,2022
62,3,9,3,1,2022
63,4,9,3,1,2022
64,5,9,3,1,2022
65,6,9,3,1,2022
66,7,10,3,1,2022
67,8,10,3,1,2022
68,9,10,3,1,2022
69,10,10,3,1,2022
70,11,10,3,1,2022
71,12,10,3,1,2022
72,13,10,3,1,2022
73,14,11,3,1,2022
74,15,11,3,1,2022
75,16,11,3,1,2022
76,17,11,3,1,2022
77,18,11,3,1,2022
78,19,11,3,1,2022
79,20,11,3,1,2022
80,21,12,3,1,2022
81,22,12,3,1,2022
82,23,12,3,1,2022
83,24,12,3,1,2022
84,25,12,3,1,2022
85,26,12,3,1,2022
86,27,12,3,1,2022
87,28,13,3,1,2022
88,29,13,3,1,2022
89,30,13,3,1,2022
90,31,13,3,1,2022
91,1,13,4,2,2022
92,2,13,4,2,2022
93,3,13,4,2,2022
94,4,14,4,2,2022
95,5,14,4,2,2022
96,6,14,4,2,2022
97,7,14,4,2,2022
98,8,14,4,2,2022
99,9,14,4,2,2022
100,10,14,4,2,2022
101,11,15,4,2,2022
102,12,15,4,2,2022
103,13,15,4,2,2022
104,14,15,4,2,2022
105,15,15,4,2,2022
106,16,15,4,2,2022
107,17,15,4,2,2022
108,18,16,4,2,2022
109,19,16,4,2,2022
110,20,16,4,2,2022
111,21,16,4,2,2022
112,22,16,4,2,2022
113,23,16,4,2,2022
114,24,16,4,2,2022
115,25,17,4,2,2022
116,26,17,4,2,2022
117,27,17,4,2,2022
118,28,17,4,2,2022
119,29,17,4,2,2022
120,30,17,4,2,2022
121,1,17,5,2,2022
122,2,18,5,2,2022
123,3,18,5,2,2022
124,4,18,5,2,2022
125,5,18,5,2,2022
126,6,18,5,2,2022
127,7,18,5,2,2022
128,8,18,5,2,2022
129,9,19,5,2,2022
130,10,19,5,2,2022
131,11,19,5,2,2022
132,12,19,5,2,2022
133,13,19,5,2,2022
134,14,19,5,2,2022
135,15,19,5,2,2022
136,16,20,5,2,2022
137,17,20,5,2,2022
138,18,20,5,2,2022
139,19,20,5,2,2022
140,20,20,5,2,2022
141,21,20,5,2,2022
142,22,20,5,2,2022
143,23,21,5,2,2022
144,24,21,5,2,2022
145,25,21,5,2,2022
146,26,21,5,2,2022
147,27,21,5,2,2022
148,28,21,5,2,2022
149,29,21,5,2,2022
150,30,22,5,2,2022
151,31,22,5,2,2022
152,1,22,6,2,2022
153,2,22,6,2,2022
154,3,22,6,2,2022
155,4,22,6,2,2022
156,5,22,6,2,2022
157,6,23,6,2,2022
158,7,23,6,2,2022
159,8,23,6,2,2022
160,9,23,6,2,2022
161,10,23,6,2,2022
162,11,23,6,2,2022
163,12,23,6,2,2022
164,13,24,6,2,2022
165,14,24,6,2,2022
166,15,24,6,2,2022
167,16,24,6,2,2022
168,17,24,6,2,2022
169,18,24,6,2,2022
170,19,24,6,2,2022
171,20,25,6,2,2022
172,21,25,6,2,2022
173,22,25,6,2,2022
174,23,25,6,2,2022
175,24,25,6,2,2022
176,25,25,6,2,2022
177,26,25,6,2,2022
178,27,26,6,2,2022
179,28,26,6,2,2022
180,29,26,6,2,2022
181,30,26,6,2,2022
182,1,26,7,3,2022
183,2,26,7,3,2022
184,3,26,7,3,2022
185,4,27,7,3,2022
186,5,27,7,3,2022
187,6,27,7,3,2022
188,7,27,7,3,2022
189,8,27,7,3,2022
190,9,27,7,3,2022
191,10,27,7,3,2022
192,11,28,7,3,2022
193,12,28,7,3,2022
194,13,28,7,3,2022
195,14,28,7,3,2022
196,15,28,7,3,2022
197,16,28,7,3,2022
198,17,28,7,3,2022
199,18,29,7,3,2022
200,19,29,7,3,2022
201,20,29,7,3,2022
202,21,29,7,3,2022
203,22,29,7,3,2022
204,23,29,7,3,2022
205,24,29,7,3,2022
206,25,30,7,3,2022
207,26,30,7,3,2022
208,27,30,7,3,2022
209,28,30,7,3,2022
210,29,30,7,3,2022
211,30,30,7,3,2022
212,31,30,7,3,2022
213,1,31,8,3,2022
214,2,31,8,3,2022
215,3,31,8,3,2022
216,4,31,8,3,2022
217,5,31,8,3,2022
218,6,31,8,3,2022
219,7,31,8,3,2022
220,8,32,8,3,2022
221,9,32,8,3,2022
222,10,32,8,3,2022
223,11,32,8,3,2022
224,12,32,8,3,2022
225,13,32,8,3,2022
226,14,32,8,3,2022
227,15,33,8,3,2022
228,16,33,8,3,2022
229,17,33,8,3,2022
230,18,33,8,3,2022
231,19,33,8,3,2022
232,20,33,8,3,2022
233,21,33,8,3,2022
234,22,34,8,3,2022
235,23,34,8,3,2022
236,24,34,8,3,2022
237,25,34,8,3,2022
238,26,34,8,3,2022
239,27,34,8,3,2022
240,28,34,8,3,2022
241,29,35,8,3,2022
242,30,35,8,3,2022
243,31,35,8,3,2022
244,1,35,9,3,2022
245,2,35,9,3,2022
246,3,35,9,3,2022
247,4,35,9,3,2022
248,5,36,9,3,2022
249,6,36,9,3,2022
250,7,36,9,3,2022
251,8,36,9,3,2022
252,9,36,9,3,2022
253,10,36,9,3,2022
254,11,36,9,3,2022
255,12,37,9,3,2022
256,13,37,9,3,2022
257,14,37,9,3,2022
258,15,37,9,3,2022
259,16,37,9,3,2022
260,17,37,9,3,2022
