tevredenheid_id,medewerker_id,patient_id,tevredenheid
1,1,730,5
2,5,1423,6
3,4,1372,1
4,4,906,5
5,3,40,6
6,1,1647,2
7,4,637,7
8,4,808,3
9,5,442,2
10,4,884,1
11,1,1641,8
12,1,707,6
13,2,1138,4
14,4,1445,7
15,3,1618,8
16,4,562,10
17,1,1384,8
18,3,1019,1
19,3,1276,9
20,1,1421,5
21,5,1923,8
22,1,266,7
23,2,1802,7
24,4,351,10
25,5,1267,9
26,5,1808,10
27,5,1557,6
28,5,434,3
29,1,1274,4
30,5,1355,1
31,5,1154,7
32,4,725,5
33,2,736,7
34,3,1221,8
35,3,921,6
36,2,633,9
37,2,1514,2
38,5,105,6
39,2,434,2
40,3,493,7
41,5,861,3
42,5,385,3
43,4,443,7
44,5,1713,4
45,5,789,1
46,3,453,2
47,1,1155,10
48,3,234,2
49,1,12,1
50,1,1607,9
51,3,1420,8
52,5,435,9
53,1,1941,9
54,4,1427,5
55,1,1774,1
56,5,1527,5
57,1,1636,10
58,3,1988,7
59,4,1327,9
60,2,1209,1
61,2,141,2
62,3,1640,5
63,2,284,5
64,4,1978,2
65,1,366,4
66,3,407,8
67,5,1638,2
68,2,918,5
69,3,1741,9
70,5,1180,7
71,4,1855,10
72,2,632,1
73,2,644,3
74,4,420,8
75,1,393,7
76,4,1613,6
77,2,762,6
78,5,954,9
79,4,1515,1
80,5,666,4
81,1,1991,7
82,5,26,5
83,1,1754,10
84,1,1387,4
85,1,526,3
86,2,510,2
87,5,1151,9
88,5,1135,5
89,2,1936,8
90,5,1054,8
91,1,251,2
92,1,1553,8
93,4,1709,4
94,3,11,6
95,2,1302,2
96,1,697,3
97,3,1286,7
98,3,354,2
99,1,771,5
100,3,750,5
101,5,219,4
102,1,331,9
103,5,1354,6
104,2,536,5
105,4,1690,8
106,1,1880,7
107,4,1088,6
108,5,123,8
109,2,1294,7
110,5,159,4
111,5,1207,7
112,1,1588,3
113,3,729,4
114,3,835,1
115,3,587,8
116,4,1288,8
117,4,1700,10
118,4,1882,2
119,1,579,3
120,2,1243,1
121,4,692,2
122,4,1064,10
123,1,524,4
124,4,59,7
125,3,1224,7
126,5,66,9
127,4,1473,3
128,1,1699,8
129,4,1731,4
130,5,758,3
131,1,1244,4
132,3,976,9
133,1,262,5
134,3,1173,7
135,2,1314,1
136,1,418,1
137,1,1283,3
138,1,11,3
139,4,540,10
140,5,54,10
141,3,1687,10
142,2,1734,4
143,3,481,10
144,5,1924,3
145,1,1516,1
146,1,1493,8
147,1,1207,5
148,4,605,9
149,5,165,9
150,5,1641,6
151,3,1169,9
152,5,189,10
153,3,571,4
154,1,1057,9
155,1,461,5
156,5,439,10
157,5,1921,5
158,5,169,5
159,1,334,10
160,3,1496,10
161,3,966,8
162,1,1706,3
163,2,1745,9
164,4,42,5
165,5,284,3
166,1,1134,5
167,1,1939,4
168,5,18,8
169,4,12,3
170,2,1582,10
171,2,540,6
172,3,1110,9
173,2,702,8
174,3,1320,8
175,4,1520,2
176,4,348,5
177,1,1446,6
178,4,1247,7
179,4,1451,7
180,5,181,10
181,3,238,1
182,3,1871,5
183,3,1758,5
184,5,11,7
185,4,1676,8
186,2,1189,3
187,1,1215,7
188,4,1758,4
189,5,83,3
190,2,430,6
191,5,694,5
