gesprek_id,datum_id,gemeente_id,instroomtype_id,voltooid,match_getoond,duur_minuten,leefstijlscore_totaal,score_voeding,score_beweging,score_ontspanning,score_slaap,score_verbinding,score_middelen
1,264,4,2,True,True,20,6.22,8.2,5.6,6.1,6.6,4.7,6.1
2,269,2,5,True,False,53,5.4,5.7,6.4,6.7,2.0,5.7,5.9
3,503,3,4,False,False,14,,,,,,,
4,172,5,1,True,True,37,5.05,8.7,2.5,1.4,5.6,8.1,4.0
5,135,1,1,True,True,35,5.68,9.8,3.7,5.9,4.2,3.8,6.7
6,843,2,4,True,True,21,6.13,5.1,7.9,2.1,9.7,6.0,6.0
7,991,5,4,True,False,36,7.48,6.5,5.8,7.9,6.7,9.1,8.9
8,312,3,2,True,True,25,5.68,3.7,2.9,3.7,8.5,6.6,8.7
9,471,2,3,True,False,43,6.7,5.7,8.3,4.5,7.3,7.7,6.7
10,351,5,4,True,False,23,5.87,4.1,6.8,2.5,8.4,5.4,8.0
11,161,4,1,True,True,42,6.57,5.8,7.8,6.8,4.9,7.0,7.1
12,637,5,5,False,False,2,,,,,,,
13,556,4,3,True,True,21,4.95,6.6,4.9,7.2,5.3,1.4,4.3
14,682,3,1,False,False,7,,,,,,,
15,13,5,2,False,False,14,,,,,,,
16,248,2,1,True,True,45,5.72,4.5,7.3,7.1,2.0,8.7,4.7
17,413,4,1,False,False,10,,,,,,,
18,409,4,1,True,True,19,5.4,7.7,5.8,1.3,6.5,3.4,7.7
19,108,5,1,True,True,20,6.3,8.3,5.2,3.0,5.1,7.8,8.4
20,737,2,4,False,False,6,,,,,,,
21,1044,1,1,True,True,36,6.32,4.5,8.3,6.5,8.1,7.0,3.5
22,991,1,1,False,False,3,,,,,,,
23,842,4,1,True,True,37,4.98,8.0,4.3,5.6,4.5,4.6,2.9
24,417,1,3,True,True,28,7.4,8.0,5.5,5.9,7.3,8.4,9.3
25,686,2,4,True,True,26,5.52,2.9,8.3,2.2,5.5,5.0,9.2
26,151,1,2,True,False,43,6.93,7.4,4.8,6.2,6.4,9.2,7.6
27,1086,1,1,False,False,10,,,,,,,
28,208,5,1,False,False,4,,,,,,,
29,924,3,3,True,True,37,5.93,5.8,6.1,8.9,5.8,3.2,5.8
30,300,3,3,True,True,31,6.98,8.3,7.1,4.8,8.5,6.5,6.7
31,86,5,1,True,False,36,6.65,7.1,7.4,6.4,8.7,4.2,6.1
32,742,5,5,True,False,14,4.78,4.9,4.1,9.3,2.5,3.1,4.8
33,119,5,1,True,True,33,5.63,4.8,2.6,8.1,7.7,6.1,4.5
34,343,1,1,True,True,36,7.37,7.5,6.3,7.0,9.2,6.7,7.5
35,622,2,3,True,False,36,6.35,8.5,6.6,3.4,4.5,6.8,8.3
36,757,4,2,True,True,24,4.43,1.7,4.8,6.2,4.0,5.1,4.8
37,616,3,2,True,True,26,6.23,8.0,2.2,6.2,4.9,6.2,9.9
38,797,2,3,True,True,42,5.07,2.4,5.1,9.3,4.5,2.7,6.4
39,770,5,1,True,True,35,6.92,8.5,7.5,4.6,5.6,8.4,6.9
40,156,1,2,True,True,32,4.73,6.2,3.7,5.1,4.0,4.5,4.9
41,48,1,3,True,True,15,6.58,3.5,9.0,6.8,6.0,7.0,7.2
42,96,2,4,True,True,23,4.03,1.4,5.8,5.0,3.8,3.5,4.7
43,940,5,3,True,True,26,5.73,6.4,4.6,4.9,2.9,9.1,6.5
44,982,2,1,True,True,32,4.67,7.1,6.0,3.1,5.0,2.1,4.7
45,180,3,2,True,True,34,5.07,5.5,4.9,7.8,2.3,6.5,3.4
46,794,1,3,True,True,40,5.27,6.1,3.0,4.9,5.4,4.7,7.5
47,563,3,3,True,True,39,5.32,3.8,5.9,5.9,6.0,5.0,5.3
48,130,4,5,True,True,27,5.5,6.0,5.3,5.3,2.2,9.1,5.1
49,46,1,1,True,False,43,5.3,7.4,3.3,2.5,8.2,4.4,6.0
50,93,3,5,True,False,26,4.93,6.5,2.7,7.0,7.3,3.8,2.3
51,382,5,1,True,True,33,5.38,5.9,5.6,7.9,6.1,4.1,2.7
52,792,2,2,False,False,15,,,,,,,
53,942,4,1,False,False,11,,,,,,,
54,411,4,4,False,False,10,,,,,,,
55,877,1,5,True,True,29,5.88,3.6,3.4,6.9,6.6,9.3,5.5
56,779,3,5,True,True,17,6.47,6.8,4.6,6.4,7.9,6.6,6.5
57,884,3,4,True,False,35,5.98,4.1,7.1,7.2,7.6,4.8,5.1
58,10,5,2,True,False,20,5.53,4.9,8.5,4.7,5.5,2.3,7.3
59,176,3,2,True,True,15,6.37,8.4,6.5,6.5,5.4,6.0,5.4
60,579,3,2,True,False,34,6.82,5.6,7.9,5.4,6.7,7.5,7.8
61,170,5,3,False,False,9,,,,,,,
62,286,5,1,True,False,21,5.68,6.8,5.2,5.6,5.3,8.0,3.2
63,712,3,1,True,True,14,5.75,5.8,4.7,7.9,6.8,1.9,7.4
64,15,1,1,True,False,26,6.25,7.6,3.8,6.3,9.1,7.6,3.1
65,982,2,2,True,False,26,5.52,7.9,7.0,2.7,5.3,3.1,7.1
66,727,2,1,True,False,24,5.3,3.3,5.2,7.3,5.1,8.7,2.2
67,441,2,1,False,False,8,,,,,,,
68,746,4,1,True,False,27,5.37,4.2,2.1,7.4,6.0,7.5,5.0
69,974,1,2,True,False,41,6.17,8.2,7.4,6.0,6.4,3.3,5.7
70,513,4,4,False,False,7,,,,,,,
71,442,4,3,True,False,43,5.08,1.9,7.6,7.2,6.5,3.3,4.0
72,223,3,3,True,True,22,4.77,6.0,5.6,5.3,2.0,4.5,5.2
73,610,1,3,True,True,33,5.08,4.8,4.0,3.8,4.9,9.4,3.6
74,874,4,1,True,True,29,6.75,4.9,7.4,7.4,6.2,9.7,4.9
75,790,2,5,False,False,7,,,,,,,
76,294,3,5,True,True,41,4.72,4.8,3.9,6.2,7.0,3.6,2.8
77,510,1,1,True,True,38,6.05,4.1,6.2,8.5,9.3,5.8,2.4
78,278,1,1,True,True,17,5.4,9.1,5.0,2.5,2.6,8.8,4.4
79,923,5,1,True,False,27,4.63,4.2,7.1,4.3,1.8,2.3,8.1
80,521,3,1,True,True,35,6.75,5.7,3.5,9.6,7.7,6.4,7.6
81,7,5,1,True,False,21,5.45,4.5,3.8,6.6,4.6,5.7,7.5
82,803,1,1,True,True,43,5.33,6.0,6.8,3.1,4.8,4.2,7.1
83,999,1,2,True,False,40,6.32,4.8,8.1,7.0,6.3,3.4,8.3
84,306,5,1,False,False,5,,,,,,,
85,339,5,1,True,True,22,5.08,7.1,7.7,5.8,4.8,3.7,1.4
86,1064,5,1,False,False,13,,,,,,,
87,16,5,3,False,False,15,,,,,,,
